name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
POL LAN1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LAN2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LAN3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LAN4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHA1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHA2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHA3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHA4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHA5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHA6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHP1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHP2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHP3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHP4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHP5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHP6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHP7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHP8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LI1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL E	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LI2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LI3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHA7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LHA8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LI4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LI5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LI6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LI7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LI8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LIFG1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LIFG2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LIFG3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LIFG4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LIFG5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LIFG6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LIFG7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LIFG8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL DC01	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL DC02	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL DC03	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL DC04	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL SpO2	MISC	µV	0.0	100.0	Miscellaneous	200.0	good	n/a
POL EtCO2	MISC	µV	0.0	100.0	Miscellaneous	200.0	good	n/a
POL Pulse	MISC	µV	0.0	100.0	Miscellaneous	200.0	good	n/a
POL LM1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM9	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM10	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM11	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LM12	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LPO1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LPO2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LPO3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LPO4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LPO5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LPO6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LPO7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LPO8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LSTG1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LSTG2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LSTG3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LSTG4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LSTG5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LSTG6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LSTG7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL LSTG8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RAN1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RAN2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RAN3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RAN4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHA1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHA2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHA3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHA4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHA5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHA6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHA7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHA8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHP1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHP2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHP3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHP4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHP5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHP6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHP7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RHP8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RI1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RI2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RI3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RI4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RI5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RI6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RI7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RI8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RIFG1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RIFG2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RIFG3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RIFG4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RIFG5	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RIFG6	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RIFG7	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RIFG8	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RM1	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RM2	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RM3	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
POL RM4	SEEG	µV	0.0	100.0	StereoEEG	200.0	good	n/a
